property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Apartment,3.0,1,2,955.0,Kuala Lumpur,1000.0,0,0,0,0,1,0
Apartment,3.0,1,1,650.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Condominium,3.0,1,2,1000.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1000.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1200.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,3.0,2,2,1062.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Flat,3.0,1,2,700.0,Kuala Lumpur,1200.0,0,0,1,0,0,0
Service Residence,3.0,1,2,1040.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,2,2,1333.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,850.0,0,0,0,0,1,0
Condominium,3.0,2,2,1325.0,Kuala Lumpur,3700.0,0,0,0,0,0,0
Condominium,3.0,1,2,962.0,Kuala Lumpur,999.0,0,0,0,0,1,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,2,2,925.0,Kuala Lumpur,2100.0,0,0,0,0,1,0
Condominium,4.0,1,3,1690.0,Kuala Lumpur,4500.0,0,0,0,0,0,0
Service Residence,1.0,1,1,570.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1050.0,Kuala Lumpur,2300.0,0,0,0,0,0,1
Service Residence,3.0,1,2,900.0,Kuala Lumpur,1500.0,0,0,0,1,0,0
Service Residence,4.0,3,2,1100.0,Kuala Lumpur,2499.0,0,0,0,0,1,0
Condominium,3.0,1,2,1150.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Condominium,4.0,1,4,2200.0,Kuala Lumpur,4000.0,0,0,0,1,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1100.0,1,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1750.0,0,0,0,0,0,1
Service Residence,1.0,1,2,762.0,Kuala Lumpur,1800.0,0,0,1,0,0,0
Apartment,2.0,1,2,743.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
