,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
9018,9018,Minimart, Gymnasium, Lift, Playground, Multipurpose hall, Jogging Track, Barbeque area, Sauna, Tennis Court, Squash Court, Security, Swimming Pool, Parking,na,Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine, Internet,na
9019,9019,Multipurpose hall, Playground, Swimming Pool, Gymnasium, Security, Parking, Jogging Track,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9020,9020,Security, Playground, Parking,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
9021,9021,Playground, Swimming Pool, Tennis Court, Parking, Security, Gymnasium, Minimart, Lift, Multipurpose hall,na,na,na,na,na,unknown,na,na,na,na,na
9022,9022,Parking, Minimart, Swimming Pool, Gymnasium, Barbeque area, Security, Playground, Tennis Court, Lift, Multipurpose hall, Club house,na,na,na,Cooking Allowed,na,na,na,na,na
9023,9023,Swimming Pool, Tennis Court, Parking, Security, Playground, Gymnasium,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9024,9024,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9025,9025,Swimming Pool, Jogging Track, Security, Parking, Gymnasium,na,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
9026,9026,Minimart, Swimming Pool, Gymnasium, Security, Barbeque area, Playground, Parking, Lift, Multipurpose hall, Tennis Court,na,na,na,na,unknown,na,na,na,na,na
9027,9027,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Near KTM/LRT,na,na,na,na
9028,9028,Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9029,9029,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9030,9030,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9031,9031,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9032,9032,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9033,9033,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9034,9034,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9035,9035,Minimart, Swimming Pool, Parking, Playground, Sauna, Squash Court, Security,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9036,9036,Playground, Minimart,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9037,9037,Barbeque area, Swimming Pool, Gymnasium, Multipurpose hall, Security, Jogging Track, Sauna, Parking, Playground, Lift,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9038,9038,Parking, Security, Playground, Barbeque area, Swimming Pool, Lift, Minimart, Jogging Track, Multipurpose hall,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9039,9039,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9040,9040,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9041,9041,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9042,9042,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9043,9043,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9044,9044,Jogging Track, Parking, Security, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Sauna, Lift, Minimart,na,na,na,Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed, Internet,na
9045,9045,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9046,9046,Jogging Track, Parking, Security, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Sauna, Lift, Minimart,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9047,9047,Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Security, Playground, Minimart, Gymnasium, Squash Court, Parking, Lift, Sauna,na,na,unknown,na,na,na,na,na
9048,9048,Sauna, Gymnasium, Security, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Playground, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
9049,9049,Swimming Pool, Parking, Security, Tennis Court, Gymnasium, Minimart, Lift,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9050,9050,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9051,9051,Sauna, Gymnasium, Security, Multipurpose hall, Parking, Swimming Pool, Playground, Barbeque area, Lift,na,na,na,na,na,unknown,na,na,na,na,na
9052,9052,Jogging Track, Security, Minimart, Swimming Pool, Parking,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
9053,9053,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9054,9054,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9055,9055,Security, Barbeque area, Parking, Playground, Gymnasium, Swimming Pool, Jogging Track, Lift, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9056,9056,Parking, Squash Court, Security, Swimming Pool, Playground, Minimart, Gymnasium, Lift, Barbeque area, Club house, Jogging Track, Multipurpose hall,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9057,9057,Parking, Security, Swimming Pool, Playground, Multipurpose hall, Lift, Sauna, Jogging Track, Gymnasium, Barbeque area,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9058,9058,Swimming Pool, Gymnasium, Playground, Jogging Track, Parking, Barbeque area, Security, Sauna, Multipurpose hall, Lift,na,na,na,na,Cooking Allowed,na,na,na,na,na
9059,9059,Security, Squash Court, Swimming Pool, Parking, Minimart, Playground, Gymnasium,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9060,9060,Minimart,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
9061,9061,Playground, Minimart, Security, Parking, Jogging Track, Swimming Pool, Lift,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
9062,9062,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9063,9063,Swimming Pool, Tennis Court, Squash Court, Jogging Track, Minimart, Playground, Security, Parking, Lift, Gymnasium,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9064,9064,Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
9065,9065,Parking, Security, Lift, Minimart, Playground,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9066,9066,Security, Swimming Pool, Squash Court, Sauna, Tennis Court, Barbeque area, Parking, Playground, Gymnasium, Lift, Minimart, Multipurpose hall, Jogging Track, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
9067,9067,Parking, Security, Minimart, Playground, Lift,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9068,9068,Parking, Security, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9069,9069,Minimart, Lift, Security, Squash Court, Parking, Playground, Gymnasium, Sauna, Swimming Pool,na,na,na,na,na,Cooking Allowed, Air-Cond, Washing Machine,na,na,na
9070,9070,Squash Court, Sauna, Parking, Swimming Pool, Tennis Court, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track, Security,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9071,9071,Security, Playground, Swimming Pool, Squash Court, Minimart, Gymnasium, Parking,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
9072,9072,Security, Playground, Parking,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
9073,9073,Parking, Playground, Jogging Track, Lift, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall,na,na,na,unknown,na,na,na,na,na
9074,9074,Tennis Court, Playground, Gymnasium, Squash Court, Jogging Track, Minimart, Security, Swimming Pool, Sauna,na,na,na,na,na,Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine,na
9075,9075,Jogging Track, Sauna, Multipurpose hall, Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Playground,na,na,na,na,na,unknown,na,na,na,na,na
9076,9076,Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9077,9077,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house,na,na,na,na,Cooking Allowed,na,na,na,na,na
9078,9078,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9079,9079,Sauna, Parking, Swimming Pool, Squash Court, Jogging Track,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9080,9080,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9081,9081,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
9082,9082,Minimart, Gymnasium, Jogging Track, Parking, Squash Court, Lift, Security, Playground, Swimming Pool, Tennis Court,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
9083,9083,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9084,9084,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9085,9085,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9086,9086,Lift, Security, Parking, Playground, Minimart,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
9087,9087,Barbeque area, Sauna, Security, Swimming Pool, Minimart, Gymnasium, Squash Court, Parking, Jogging Track, Lift, Playground, Tennis Court,na,na,unknown,na,na,na,na,na
9088,9088,Barbeque area, Club house, Minimart, Playground, Gymnasium, Parking, Sauna, Security, Swimming Pool, Tennis Court, Squash Court,na,na,na,unknown,na,na,na,na,na
9089,9089,Security, Gymnasium, Swimming Pool, Parking, Tennis Court, Playground,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
9090,9090,Squash Court, Playground, Gymnasium, Parking, Security, Minimart, Swimming Pool, Lift,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9091,9091,Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Tennis Court, Jogging Track,na,na,na,na,na,Air-Cond,na,na,na,na,na
9092,9092,Swimming Pool, Sauna, Playground, Barbeque area, Security, Gymnasium, Jogging Track, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9093,9093,Playground, Lift,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
9094,9094,Sauna, Barbeque area, Multipurpose hall, Swimming Pool, Gymnasium, Security, Playground, Jogging Track, Parking, Lift,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9095,9095,Club house,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9096,9096,Gymnasium, Squash Court, Tennis Court, Parking, Swimming Pool, Playground, Security, Minimart,na,na,na,na,na,na,unknown,na,na,na,na,na
9097,9097,Parking, Playground, Lift, Security, Swimming Pool, Gymnasium, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9098,9098,Parking, Security, Lift, Playground, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9099,9099,Security, Playground, Club house, Parking, Minimart, Gymnasium, Multipurpose hall, Squash Court, Jogging Track, Lift,na,na,na,na,Cooking Allowed,na,na,na,na,na
9100,9100,Security, Minimart, Playground, Swimming Pool, Parking, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed, Internet,na
9101,9101,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9102,9102,Parking, Playground, Security,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9103,9103,Security, Playground, Club house, Parking, Minimart, Gymnasium, Multipurpose hall, Squash Court, Jogging Track, Lift,na,na,na,na,Cooking Allowed,na,na,na,na,na
9104,9104,Tennis Court, Lift, Barbeque area, Security, Jogging Track, Multipurpose hall, Parking, Playground, Swimming Pool,na,na,na,na,na,Air-Cond,na,na,na,na,na
9105,9105,Playground, Lift, Multipurpose hall, Security, Gymnasium, Swimming Pool,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9106,9106,Playground, Security, Gymnasium, Multipurpose hall, Parking,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
9107,9107,Minimart, Playground, Swimming Pool, Jogging Track, Gymnasium, Security, Tennis Court, Squash Court, Lift, Parking,na,na,na,na,unknown,na,na,na,na,na
9108,9108,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9109,9109,Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Gymnasium,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Internet,na,na,na
9110,9110,Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
9111,9111,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9112,9112,Swimming Pool, Playground, Gymnasium, Sauna, Parking, Security, Tennis Court, Squash Court, Barbeque area,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9113,9113,Minimart, Playground, Swimming Pool, Jogging Track, Gymnasium, Security, Tennis Court, Squash Court, Lift, Parking,na,na,na,na,unknown,na,na,na,na,na
9114,9114,Parking, Barbeque area, Security, Playground,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9115,9115,Minimart, Playground, Swimming Pool, Jogging Track, Gymnasium, Security, Tennis Court, Squash Court, Lift, Parking,na,na,na,na,unknown,na,na,na,na,na
9116,9116,Gymnasium, Club house, Parking, Security, Sauna, Minimart, Playground, Swimming Pool, Lift, Barbeque area, Tennis Court, Jogging Track, Multipurpose hall,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9117,9117,Parking, Swimming Pool, Security, Lift, Playground, Multipurpose hall, Barbeque area, Gymnasium, Jogging Track,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
9118,9118,Parking, Security, Minimart, Gymnasium, Jogging Track, Playground, Swimming Pool, Lift,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9119,9119,Security, Lift, Swimming Pool, Gymnasium, Playground,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9120,9120,Swimming Pool, Security, Playground, Gymnasium, Jogging Track, Parking, Minimart, Lift, Multipurpose hall, Club house,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
9121,9121,Jogging Track, Security, Parking, Minimart, Lift, Playground,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9122,9122,Sauna, Multipurpose hall, Playground, Swimming Pool, Jogging Track, Barbeque area, Security, Gymnasium, Parking, Minimart, Club house,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9123,9123,Tennis Court, Swimming Pool, Lift, Barbeque area, Parking, Security, Multipurpose hall, Playground, Jogging Track,na,na,na,na,na,Near KTM/LRT, Cooking Allowed, Air-Cond,na,na,na
9124,9124,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9125,9125,Parking, Barbeque area, Security, Playground,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9126,9126,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house,na,na,na,na,Cooking Allowed,na,na,na,na,na
9127,9127,Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Jogging Track,na,na,na,na,na,unknown,na,na,na,na,na
9128,9128,Parking, Security, Playground, Jogging Track,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9129,9129,Playground, Minimart, Jogging Track,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9130,9130,Jogging Track, Lift, Parking, Gymnasium, Security, Swimming Pool, Barbeque area, Playground,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
9131,9131,Minimart, Swimming Pool, Security, Jogging Track, Playground, Parking, Lift,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9132,9132,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9133,9133,Playground,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9134,9134,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
9135,9135,Barbeque area, Swimming Pool, Gymnasium, Playground, Jogging Track, Parking, Sauna, Security,na,na,na,na,na,na,unknown,na,na,na,na,na
9136,9136,Playground, Jogging Track, Minimart,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9137,9137,Parking, Security, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9138,9138,Swimming Pool, Barbeque area, Playground, Parking, Minimart, Security,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9139,9139,Lift, Jogging Track, Barbeque area, Playground, Parking, Security, Swimming Pool, Gymnasium,na,na,na,na,na,na,unknown,na,na,na,na,na
9140,9140,Swimming Pool, Barbeque area, Security, Playground, Parking, Jogging Track, Lift, Gymnasium,na,na,na,na,na,na,unknown,na,na,na,na,na
9141,9141,Parking, Lift, Security,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9142,9142,Parking, Jogging Track, Security, Minimart, Swimming Pool,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9143,9143,Barbeque area, Multipurpose hall, Parking, Security, Gymnasium, Swimming Pool, Jogging Track, Lift, Playground, Minimart,na,na,na,na,Cooking Allowed, Washing Machine, Internet,na,na,na
9144,9144,Barbeque area, Security, Playground, Swimming Pool, Minimart, Gymnasium, Sauna, Parking, Lift, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9145,9145,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
9146,9146,Minimart, Parking, Security, Multipurpose hall,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9147,9147,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9148,9148,Playground, Gymnasium, Lift, Security,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9149,9149,Security, Playground, Swimming Pool, Barbeque area, Parking, Sauna, Lift, Multipurpose hall, Gymnasium, Jogging Track,na,na,na,na,unknown,na,na,na,na,na
9150,9150,Minimart, Gymnasium, Squash Court, Parking, Security, Sauna, Playground, Tennis Court, Swimming Pool, Lift,na,na,na,na,unknown,na,na,na,na,na
9151,9151,Parking, Lift,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9152,9152,Minimart, Swimming Pool, Lift, Sauna, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Security, Tennis Court, Squash Court, Multipurpose hall,na,Air-Cond, Cooking Allowed,na,na,na,na
9153,9153,Playground, Jogging Track, Swimming Pool, Gymnasium, Squash Court, Security, Minimart, Tennis Court, Lift, Parking,na,na,na,na,unknown,na,na,na,na,na
9154,9154,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9155,9155,Multipurpose hall, Parking, Security, Playground, Gymnasium,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9156,9156,Multipurpose hall, Playground, Security, Minimart, Jogging Track, Lift, Barbeque area, Squash Court, Swimming Pool, Gymnasium, Tennis Court, Sauna, Club house, Parking,unknown,na,na,na,na,na
9157,9157,Parking, Security, Lift, Minimart,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9158,9158,Security, Sauna, Gymnasium, Parking, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Jogging Track,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9159,9159,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9160,9160,Parking, Security, Lift, Playground, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9161,9161,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9162,9162,Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9163,9163,Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna,na,na,na,na,na,unknown,na,na,na,na,na
9164,9164,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9165,9165,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9166,9166,Gymnasium, Security, Jogging Track, Multipurpose hall, Parking, Playground, Swimming Pool, Barbeque area,na,na,na,na,na,na,unknown,na,na,na,na,na
9167,9167,Parking, Playground, Minimart, Jogging Track,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9168,9168,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9169,9169,Minimart, Security, Gymnasium, Swimming Pool, Squash Court, Lift, Parking, Playground, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
9170,9170,Sauna, Playground, Swimming Pool, Gymnasium, Minimart, Security, Parking, Lift, Barbeque area, Squash Court,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
9171,9171,Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
9172,9172,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9173,9173,Security, Minimart, Squash Court, Jogging Track, Playground, Swimming Pool, Tennis Court, Gymnasium, Parking, Lift, Sauna,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9174,9174,Swimming Pool, Security, Playground, Barbeque area, Parking, Multipurpose hall, Gymnasium, Jogging Track, Lift,na,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
9175,9175,Minimart, Playground, Jogging Track,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9176,9176,Security, Swimming Pool, Multipurpose hall, Minimart, Playground, Parking, Lift, Gymnasium, Sauna, Barbeque area,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
9177,9177,Barbeque area, Club house, Jogging Track, Playground, Swimming Pool, Gymnasium, Security, Multipurpose hall,na,na,na,na,na,na,unknown,na,na,na,na,na
9178,9178,Gymnasium, Multipurpose hall, Parking, Security, Playground, Jogging Track, Swimming Pool, Barbeque area,na,na,na,na,na,na,unknown,na,na,na,na,na
9179,9179,Parking, Security, Lift, Playground, Minimart,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
9180,9180,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
9181,9181,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9182,9182,Playground, Parking, Security, Minimart, Gymnasium, Tennis Court, Sauna, Multipurpose hall, Lift, Club house, Squash Court, Jogging Track, Barbeque area, Swimming Pool,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9183,9183,Parking, Sauna, Security, Swimming Pool,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
9184,9184,Swimming Pool, Parking, Jogging Track, Security, Gymnasium, Lift, Playground, Sauna, Minimart,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
9185,9185,Gymnasium, Tennis Court, Security, Swimming Pool, Minimart, Parking, Playground,na,na,na,na,na,na,na,unknown,na,na,na,na,na
9186,9186,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
