,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
49,49,Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium,na,na,na,na,na,na,unknown,na,na,na,na,na
50,50,Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
51,51,Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
52,52,Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
53,53,Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Minimart, Lift,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
54,54,Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Lift, Minimart,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
55,55,Swimming Pool,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
56,56,Swimming Pool, Squash Court, Security, Parking, Lift, Tennis Court, Jogging Track, Gymnasium, Playground, Minimart,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
57,57,Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Lift, Playground, Minimart,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
58,58,Swimming Pool, Gymnasium, Squash Court, Security, Parking, Lift, Jogging Track, Tennis Court, Playground, Minimart,na,na,na,na,Air-Cond,na,na,na,na,na
59,59,Swimming Pool, Gymnasium, Parking, 10,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
60,60,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
61,61,Security, Playground, Gymnasium, Swimming Pool, Parking, Minimart, Lift, Sauna, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Jogging Track, Club house,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
62,62,Playground, Lift, Club house, Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
63,63,Parking, Lift, Security, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Minimart, Squash Court, Multipurpose hall, Playground, Swimming Pool,Air-Cond, Cooking Allowed,na,na,na,na
64,64,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
65,65,Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Minimart, Barbeque area, Tennis Court, Jogging Track, Club house, Gymnasium, Sauna, Security,Cooking Allowed, Air-Cond, Near KTM/LRT,na,na,na
66,66,Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground,na,na,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
67,67,Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Internet,na,na
68,68,Parking, Security, Lift, Swimming Pool, Playground, Club house,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
69,69,Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
70,70,Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
71,71,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
72,72,Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
73,73,Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
74,74,Parking, Security, Playground, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Air-Cond,na,na,na
75,75,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area,na,na,na,na,na,na,Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed,na,na
76,76,Parking, Security, Lift, Playground, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
77,77,Parking, Security, Lift, Playground, Jogging Track,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
78,78,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
79,79,Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
80,80,Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift,na,na,Cooking Allowed,na,na,na,na,na
