,Unnamed: 0,prop_name,location,property_type,rooms,parking,bathroom,size,furnished,region,monthly_rent(RM),Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court,unknown, Club house, Gymnasium, Jogging Track, Lift, Minimart, Multipurpose hall, Parking, Playground, Sauna, Security, Squash Court, Swimming Pool, Tennis Court, Barbeque area, 11,Air-Cond,Cooking Allowed,Internet,Near KTM/LRT,Washing Machine, Cooking Allowed, Internet, Near KTM/LRT, Washing Machine
29,29,28 Dutamas,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1719 sq.ft.,Fully Furnished,Kuala Lumpur,2900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
30,30,Pangsapuri Melur (Sentul),Kuala Lumpur - Sentul,Apartment,3,0,2,1065 sq.ft.,Partially Furnished,Kuala Lumpur,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,Residensi Vista Wirajaya,Kuala Lumpur - Setapak,Apartment,3,1,2,885 sq.ft.,Fully Furnished,Kuala Lumpur,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,Bayu Sentul Condominium,Kuala Lumpur - Sentul,Condominium,3,2,2,1300 sq.ft.,Partially Furnished,Kuala Lumpur,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,Flexus Signature Suites,Kuala Lumpur - Jalan Kuching,Studio,1,1,1,530 sq.ft.,Fully Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34,34,Menjalara 18,Kuala Lumpur - Bandar Menjalara,Condominium,3,1,2,1316 sq.ft.,Fully Furnished,Kuala Lumpur,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
35,35,G Residence @ Desa Pandan,Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1539 sq.ft.,Fully Furnished,Kuala Lumpur,4500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36,36,Greenpark,Kuala Lumpur - Old Klang Road,Condominium,3,1,2,1270 sq.ft.,Partially Furnished,Kuala Lumpur,1400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37,37,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,3,1,2,819 sq.ft.,Partially Furnished,Kuala Lumpur,1800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
38,38,Baiduri Apartment (Desa Pandan),Kuala Lumpur - Desa Pandan,Apartment,3,1,2,950 sq.ft.,Partially Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,Bennington Residences @ SkyArena,Kuala Lumpur - Setapak,Condominium,3,2,2,1200 sq.ft.,Fully Furnished,Kuala Lumpur,3000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,40,Sri Putramas,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1100 sq.ft.,Fully Furnished,Kuala Lumpur,1600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
41,41,Putra Villa,Kuala Lumpur - Setapak,Condominium,3,0,2,1066 sq.ft.,Fully Furnished,Kuala Lumpur,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,38 Bidara,Kuala Lumpur - KLCC,Condominium,2,0,2,706 sq.ft.,Fully Furnished,Kuala Lumpur,2100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,43,3 Towers,Kuala Lumpur - Ampang Hilir,Condominium,2,1,1,890 sq.ft.,Fully Furnished,Kuala Lumpur,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,One Maxim,Kuala Lumpur - Sentul,Service Residence,2,1,2,650 sq.ft.,Partially Furnished,Kuala Lumpur,1300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,Casa Mutiara,Kuala Lumpur - Bukit Bintang,Service Residence,2,1,2,742 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,Sofiya Residences,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
47,47,Laman Tasik,Kuala Lumpur - Cheras,Condominium,4,1,3,1300 sq.ft.,Fully Furnished,Kuala Lumpur,2100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,Residensi Seri Wahyu @ Jalan Kuching KL,Kuala Lumpur - KL City,Apartment,3,1,2,805 sq.ft.,Partially Furnished,Kuala Lumpur,1300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,The Hamilton,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1000 sq.ft.,Fully Furnished,Kuala Lumpur,2600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,3 Towers,Kuala Lumpur - Ampang Hilir,Service Residence,1,1,1,440 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,Menjalara 18,Kuala Lumpur - Bandar Menjalara,Condominium,5,2,3,1600 sq.ft.,Fully Furnished,Kuala Lumpur,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
52,52,The Havre @ Bukit Jalil,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1028 sq.ft.,Fully Furnished,Kuala Lumpur,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
53,53,unknown,Kuala Lumpur - Setapak,Condominium,4,0,2,940 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
54,54,unknown,Kuala Lumpur - Setapak,Condominium,3,1,2,860 sq.ft.,Fully Furnished,Kuala Lumpur,1800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,55,unknown,Kuala Lumpur - Jalan Kuching,Condominium,3,2,2,1100 sq.ft.,Partially Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,56,unknown,Kuala Lumpur - Setapak,Condominium,4,1,2,914 sq.ft.,Partially Furnished,Kuala Lumpur,1600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
57,57,unknown,Kuala Lumpur - Jalan Kuching,Condominium,3,2,2,1100 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58,58,unknown,Kuala Lumpur - Kepong,Condominium,3,2,2,1100 sq.ft.,Partially Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,59,unknown,Kuala Lumpur - Jalan Kuching,Condominium,3,2,2,1100 sq.ft.,Partially Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
60,60,unknown,Kuala Lumpur - Kepong,Condominium,3,2,2,1100 sq.ft.,Fully Furnished,Kuala Lumpur,1850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
61,61,unknown,Kuala Lumpur - Sentul,Condominium,4,2,3,1200 sq.ft.,Partially Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,62,unknown,Kuala Lumpur - Jalan Ipoh,Service Residence,2,1,2,904 sq.ft.,Fully Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
63,63,unknown,Kuala Lumpur - Kepong,Condominium,4,2,2,1300 sq.ft.,Partially Furnished,Kuala Lumpur,1800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
64,64,M3 Residency,Kuala Lumpur - Setapak,Condominium,3,1,2,950 sq.ft.,Partially Furnished,Kuala Lumpur,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,unknown,Kuala Lumpur - Kepong,Condominium,3,2,2,1100 sq.ft.,Partially Furnished,Kuala Lumpur,1600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,66,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,2,2,2,650 sq.ft.,Not Furnished,Kuala Lumpur,1400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67,67,D'Puncak Suasana,Kuala Lumpur - KLCC,Apartment,3,2,2,1000 sq.ft.,Partially Furnished,Kuala Lumpur,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
68,68,Kaleidoscope,Kuala Lumpur - Setiawangsa,Condominium,3,0,2,1115 sq.ft.,Partially Furnished,Kuala Lumpur,2700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,KL Traders Square Residences,Kuala Lumpur - Gombak,Service Residence,3,1,2,850 sq.ft.,Not Furnished,Kuala Lumpur,1400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70,70,Prisma Cheras,Kuala Lumpur - Cheras,Condominium,2,1,1,717 sq.ft.,Fully Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
71,71,Seasons Garden Residences @ Wangsa Maju,Kuala Lumpur - Wangsa Maju,Apartment,3,1,2,850 sq.ft.,Partially Furnished,Kuala Lumpur,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,Lavile,Kuala Lumpur - Cheras,Service Residence,3,0,2,864 sq.ft.,Fully Furnished,Kuala Lumpur,3000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
73,73,Maxim Citilights,Kuala Lumpur - Sentul,Service Residence,3,1,2,1150 sq.ft.,Not Furnished,Kuala Lumpur,1300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,74,Fajar Ria,Kuala Lumpur - Pantai,Condominium,3,0,2,1500 sq.ft.,Fully Furnished,Kuala Lumpur,2500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,75,Banyan Tree,Kuala Lumpur - KLCC,Condominium,2,1,2,1076 sq.ft.,Fully Furnished,Kuala Lumpur,7000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,76,PPA1M Bukit Jalil,Kuala Lumpur - Bukit Jalil,Apartment,3,1,2,1000 sq.ft.,Not Furnished,Kuala Lumpur,1300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,Taman Connaught,Kuala Lumpur - Cheras,Apartment,2,1,1,550 sq.ft.,Partially Furnished,Kuala Lumpur,900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
78,78,Midah Ria,Kuala Lumpur - Cheras,Condominium,3,1,2,967 sq.ft.,Partially Furnished,Kuala Lumpur,1300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
79,79,Sri Kenangan,Kuala Lumpur - Wangsa Maju,Condominium,4,1,2,1184 sq.ft.,Partially Furnished,Kuala Lumpur,2500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,Faber Ria,Kuala Lumpur - Taman Desa,Condominium,2,1,2,1050 sq.ft.,Partially Furnished,Kuala Lumpur,1300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
81,81,Banyan Tree,Kuala Lumpur - KLCC,Condominium,2,1,2,1076 sq.ft.,Fully Furnished,Kuala Lumpur,7800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
82,82,Villa Wangsamas,Kuala Lumpur - Wangsa Maju,Condominium,3,0,3,1267 sq.ft.,Partially Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,83,Villa Wangsamas,Kuala Lumpur - Wangsa Maju,Condominium,3,1,3,1267 sq.ft.,Fully Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
84,84,The Capers,Kuala Lumpur - Sentul,Service Residence,2,0,2,999 sq.ft.,Partially Furnished,Kuala Lumpur,2100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
85,85,Central Residence @ Sg Besi,Kuala Lumpur - Sungai Besi,Condominium,3,2,2,1121 sq.ft.,Fully Furnished,Kuala Lumpur,1750,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
